hhid,round,foodclassR7,s11q2c,s11q2d
4002,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,
4002,7,Oils and fats,Yes,
4002,7,Sweets,No,
4002,7,"Spices, condiments, beverages",Yes,
4004,7,None / Only water,No,
4004,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
4004,7,White roots and tubers,No,
4004,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
4004,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
4004,7,"Other vegetables (e.g., cabbage)",Yes,
4004,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
4004,7,"Other fruits (e.g., banana, watermelon)",No,
4004,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
4004,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
4004,7,Eggs,No,
4004,7,Fish and seafood,No,
4004,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
4004,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
4004,7,Oils and fats,No,
4004,7,Sweets,No,
4004,7,"Spices, condiments, beverages",No,
4005,7,None / Only water,No,No
4005,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
4005,7,White roots and tubers,Yes,Yes
4005,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4005,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,Yes
4005,7,"Other vegetables (e.g., cabbage)",Yes,Yes
4005,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4005,7,"Other fruits (e.g., banana, watermelon)",No,No
4005,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
4005,7,"Flesh meat (e.g., steak, chicken, etc.)",Yes,Yes
4005,7,Eggs,No,No
4005,7,Fish and seafood,No,No
4005,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,No
4005,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,Yes
4005,7,Oils and fats,Yes,Yes
4005,7,Sweets,No,No
4005,7,"Spices, condiments, beverages",No,No
4007,7,None / Only water,No,
4007,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",No,
4007,7,White roots and tubers,No,
4007,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
4007,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,
4007,7,"Other vegetables (e.g., cabbage)",Yes,
4007,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
4007,7,"Other fruits (e.g., banana, watermelon)",No,
4007,7,"Organ meat (e.g., liver, kidney, blood, etc.)",Yes,
4007,7,"Flesh meat (e.g., steak, chicken, etc.)",Yes,
4007,7,Eggs,No,
4007,7,Fish and seafood,No,
4007,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,
4007,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
4007,7,Oils and fats,Yes,
4007,7,Sweets,No,
4007,7,"Spices, condiments, beverages",No,
4009,7,None / Only water,,
4009,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",,
4009,7,White roots and tubers,,
4009,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),,
4009,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",,
4009,7,"Other vegetables (e.g., cabbage)",,
4009,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",,
4009,7,"Other fruits (e.g., banana, watermelon)",,
4009,7,"Organ meat (e.g., liver, kidney, blood, etc.)",,
4009,7,"Flesh meat (e.g., steak, chicken, etc.)",,
4009,7,Eggs,,
4009,7,Fish and seafood,,
4009,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",,
4009,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",,
4009,7,Oils and fats,,
4009,7,Sweets,,
4009,7,"Spices, condiments, beverages",,
4010,7,None / Only water,No,No
4010,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
4010,7,White roots and tubers,No,No
4010,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4010,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
4010,7,"Other vegetables (e.g., cabbage)",No,No
4010,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4010,7,"Other fruits (e.g., banana, watermelon)",No,No
4010,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
4010,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
4010,7,Eggs,No,No
4010,7,Fish and seafood,No,No
4010,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,No
4010,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,No
4010,7,Oils and fats,Yes,Yes
4010,7,Sweets,No,No
4010,7,"Spices, condiments, beverages",No,No
4011,7,None / Only water,No,No
4011,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
4011,7,White roots and tubers,No,No
4011,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,Yes
4011,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,No
4011,7,"Other vegetables (e.g., cabbage)",Yes,No
4011,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,Yes
4011,7,"Other fruits (e.g., banana, watermelon)",No,Yes
4011,7,"Organ meat (e.g., liver, kidney, blood, etc.)",Yes,Yes
4011,7,"Flesh meat (e.g., steak, chicken, etc.)",Yes,Yes
4011,7,Eggs,No,No
4011,7,Fish and seafood,No,No
4011,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,Yes
4011,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,Yes
4011,7,Oils and fats,Yes,No
4011,7,Sweets,No,No
4011,7,"Spices, condiments, beverages",No,No
4013,7,None / Only water,No,No
4013,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
4013,7,White roots and tubers,No,No
4013,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4013,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
4013,7,"Other vegetables (e.g., cabbage)",No,No
4013,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4013,7,"Other fruits (e.g., banana, watermelon)",No,No
4013,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
4013,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
4013,7,Eggs,No,No
4013,7,Fish and seafood,No,No
4013,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,Yes
4013,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,No
4013,7,Oils and fats,No,No
4013,7,Sweets,No,No
4013,7,"Spices, condiments, beverages",No,No
4014,7,None / Only water,No,No
4014,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
4014,7,White roots and tubers,No,No
4014,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4014,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
4014,7,"Other vegetables (e.g., cabbage)",No,No
4014,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4014,7,"Other fruits (e.g., banana, watermelon)",No,No
4014,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
4014,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
4014,7,Eggs,No,No
4014,7,Fish and seafood,No,No
4014,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,Yes
4014,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,No
4014,7,Oils and fats,Yes,Yes
4014,7,Sweets,No,No
4014,7,"Spices, condiments, beverages",No,No
4019,7,None / Only water,No,No
4019,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
4019,7,White roots and tubers,No,No
4019,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4019,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
4019,7,"Other vegetables (e.g., cabbage)",No,No
4019,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4019,7,"Other fruits (e.g., banana, watermelon)",No,No
4019,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
4019,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
4019,7,Eggs,No,No
4019,7,Fish and seafood,No,No
4019,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,Yes
4019,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,Yes
4019,7,Oils and fats,Yes,Yes
4019,7,Sweets,No,No
4019,7,"Spices, condiments, beverages",No,No
4020,7,None / Only water,No,No
4020,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
4020,7,White roots and tubers,No,No
4020,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4020,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
4020,7,"Other vegetables (e.g., cabbage)",No,No
4020,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4020,7,"Other fruits (e.g., banana, watermelon)",No,No
4020,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
4020,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
4020,7,Eggs,No,No
4020,7,Fish and seafood,No,No
4020,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,Yes
4020,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,No
4020,7,Oils and fats,Yes,Yes
4020,7,Sweets,No,No
4020,7,"Spices, condiments, beverages",No,No
4021,7,None / Only water,No,No
4021,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
4021,7,White roots and tubers,No,No
4021,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4021,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
4021,7,"Other vegetables (e.g., cabbage)",No,No
4021,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4021,7,"Other fruits (e.g., banana, watermelon)",No,No
4021,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
4021,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
4021,7,Eggs,No,No
4021,7,Fish and seafood,No,No
4021,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,No
4021,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,Yes
4021,7,Oils and fats,No,No
4021,7,Sweets,No,No
4021,7,"Spices, condiments, beverages",No,No
4022,7,None / Only water,No,No
4022,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
4022,7,White roots and tubers,No,No
4022,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4022,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
4022,7,"Other vegetables (e.g., cabbage)",No,No
4022,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4022,7,"Other fruits (e.g., banana, watermelon)",No,No
4022,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
4022,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
4022,7,Eggs,No,No
4022,7,Fish and seafood,No,No
4022,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,Yes
4022,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,No
4022,7,Oils and fats,No,No
4022,7,Sweets,No,No
4022,7,"Spices, condiments, beverages",No,No
4023,7,None / Only water,,
4023,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",,
4023,7,White roots and tubers,,
4023,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),,
4023,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",,
4023,7,"Other vegetables (e.g., cabbage)",,
4023,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",,
4023,7,"Other fruits (e.g., banana, watermelon)",,
4023,7,"Organ meat (e.g., liver, kidney, blood, etc.)",,
4023,7,"Flesh meat (e.g., steak, chicken, etc.)",,
4023,7,Eggs,,
4023,7,Fish and seafood,,
4023,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",,
4023,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",,
4023,7,Oils and fats,,
4023,7,Sweets,,
4023,7,"Spices, condiments, beverages",,
4025,7,None / Only water,No,
4025,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
4025,7,White roots and tubers,No,
4025,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
4025,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
4025,7,"Other vegetables (e.g., cabbage)",Yes,
4025,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
4025,7,"Other fruits (e.g., banana, watermelon)",No,
4025,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
4025,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
4025,7,Eggs,No,
4025,7,Fish and seafood,No,
4025,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
4025,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
4025,7,Oils and fats,No,
4025,7,Sweets,No,
4025,7,"Spices, condiments, beverages",No,
4026,7,None / Only water,No,No
4026,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
4026,7,White roots and tubers,No,No
4026,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4026,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
4026,7,"Other vegetables (e.g., cabbage)",Yes,Yes
4026,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4026,7,"Other fruits (e.g., banana, watermelon)",No,No
4026,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
4026,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
4026,7,Eggs,No,No
4026,7,Fish and seafood,No,No
4026,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,No
4026,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,Yes
4026,7,Oils and fats,No,No
4026,7,Sweets,No,No
4026,7,"Spices, condiments, beverages",No,No
4027,7,None / Only water,No,
4027,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
4027,7,White roots and tubers,No,
4027,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
4027,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
4027,7,"Other vegetables (e.g., cabbage)",No,
4027,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
4027,7,"Other fruits (e.g., banana, watermelon)",No,
4027,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
4027,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
4027,7,Eggs,No,
4027,7,Fish and seafood,No,
4027,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
4027,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,
4027,7,Oils and fats,Yes,
4027,7,Sweets,No,
4027,7,"Spices, condiments, beverages",No,
4028,7,None / Only water,No,No
4028,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
4028,7,White roots and tubers,No,No
4028,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4028,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
4028,7,"Other vegetables (e.g., cabbage)",Yes,Yes
4028,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4028,7,"Other fruits (e.g., banana, watermelon)",No,No
4028,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
4028,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
4028,7,Eggs,No,No
4028,7,Fish and seafood,No,No
4028,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,No
4028,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,No
4028,7,Oils and fats,Yes,Yes
4028,7,Sweets,No,No
4028,7,"Spices, condiments, beverages",No,No
4029,7,None / Only water,No,
4029,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
4029,7,White roots and tubers,No,
4029,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
4029,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
4029,7,"Other vegetables (e.g., cabbage)",Yes,
4029,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
4029,7,"Other fruits (e.g., banana, watermelon)",No,
4029,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
4029,7,"Flesh meat (e.g., steak, chicken, etc.)",Yes,
4029,7,Eggs,No,
4029,7,Fish and seafood,No,
4029,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
4029,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,
4029,7,Oils and fats,No,
4029,7,Sweets,No,
4029,7,"Spices, condiments, beverages",No,
4030,7,None / Only water,No,
4030,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
4030,7,White roots and tubers,No,
4030,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
4030,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
4030,7,"Other vegetables (e.g., cabbage)",No,
4030,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
4030,7,"Other fruits (e.g., banana, watermelon)",No,
4030,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
4030,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
4030,7,Eggs,No,
4030,7,Fish and seafood,No,
4030,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,
4030,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,
4030,7,Oils and fats,No,
4030,7,Sweets,No,
4030,7,"Spices, condiments, beverages",No,
4031,7,None / Only water,No,No
4031,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,No
4031,7,White roots and tubers,No,No
4031,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4031,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
4031,7,"Other vegetables (e.g., cabbage)",Yes,No
4031,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4031,7,"Other fruits (e.g., banana, watermelon)",No,No
4031,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
4031,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
4031,7,Eggs,No,No
4031,7,Fish and seafood,No,No
4031,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,No
4031,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,Yes
4031,7,Oils and fats,No,No
4031,7,Sweets,No,No
4031,7,"Spices, condiments, beverages",No,No
4033,7,None / Only water,No,No
4033,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
4033,7,White roots and tubers,No,No
4033,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4033,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
4033,7,"Other vegetables (e.g., cabbage)",No,No
4033,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4033,7,"Other fruits (e.g., banana, watermelon)",No,No
4033,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
4033,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
4033,7,Eggs,No,No
4033,7,Fish and seafood,No,No
4033,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,Yes
4033,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,No
4033,7,Oils and fats,No,No
4033,7,Sweets,No,No
4033,7,"Spices, condiments, beverages",No,No
4034,7,None / Only water,No,
4034,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
4034,7,White roots and tubers,No,
4034,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
4034,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
4034,7,"Other vegetables (e.g., cabbage)",No,
4034,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
4034,7,"Other fruits (e.g., banana, watermelon)",No,
4034,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
4034,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
4034,7,Eggs,No,
4034,7,Fish and seafood,No,
4034,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,
4034,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,
4034,7,Oils and fats,No,
4034,7,Sweets,No,
4034,7,"Spices, condiments, beverages",No,
4035,7,None / Only water,No,
4035,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
4035,7,White roots and tubers,No,
4035,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
4035,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
4035,7,"Other vegetables (e.g., cabbage)",No,
4035,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
4035,7,"Other fruits (e.g., banana, watermelon)",No,
4035,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
4035,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
4035,7,Eggs,No,
4035,7,Fish and seafood,No,
4035,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,
4035,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,
4035,7,Oils and fats,No,
4035,7,Sweets,No,
4035,7,"Spices, condiments, beverages",No,
4037,7,None / Only water,No,
4037,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
4037,7,White roots and tubers,No,
4037,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
4037,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
4037,7,"Other vegetables (e.g., cabbage)",No,
4037,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
4037,7,"Other fruits (e.g., banana, watermelon)",No,
4037,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
4037,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
4037,7,Eggs,No,
4037,7,Fish and seafood,No,
4037,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,
4037,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,
4037,7,Oils and fats,No,
4037,7,Sweets,No,
4037,7,"Spices, condiments, beverages",No,
4038,7,None / Only water,No,No
4038,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
4038,7,White roots and tubers,Yes,Yes
4038,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4038,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
4038,7,"Other vegetables (e.g., cabbage)",Yes,No
4038,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4038,7,"Other fruits (e.g., banana, watermelon)",No,No
4038,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
4038,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
4038,7,Eggs,No,No
4038,7,Fish and seafood,No,No
4038,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,No
4038,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,Yes
4038,7,Oils and fats,Yes,Yes
4038,7,Sweets,No,No
4038,7,"Spices, condiments, beverages",No,No
4039,7,None / Only water,No,
4039,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
4039,7,White roots and tubers,No,
4039,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
4039,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
4039,7,"Other vegetables (e.g., cabbage)",No,
4039,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
4039,7,"Other fruits (e.g., banana, watermelon)",No,
4039,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
4039,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
4039,7,Eggs,No,
4039,7,Fish and seafood,No,
4039,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,
4039,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,
4039,7,Oils and fats,No,
4039,7,Sweets,No,
4039,7,"Spices, condiments, beverages",No,
4040,7,None / Only water,No,No
4040,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
4040,7,White roots and tubers,No,No
4040,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4040,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
4040,7,"Other vegetables (e.g., cabbage)",No,No
4040,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4040,7,"Other fruits (e.g., banana, watermelon)",No,No
4040,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
4040,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
4040,7,Eggs,No,No
4040,7,Fish and seafood,No,No
4040,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,Yes
4040,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,No
4040,7,Oils and fats,Yes,Yes
4040,7,Sweets,No,No
4040,7,"Spices, condiments, beverages",No,No
4041,7,None / Only water,,
4041,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",,
4041,7,White roots and tubers,,
4041,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),,
4041,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",,
4041,7,"Other vegetables (e.g., cabbage)",,
4041,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",,
4041,7,"Other fruits (e.g., banana, watermelon)",,
4041,7,"Organ meat (e.g., liver, kidney, blood, etc.)",,
4041,7,"Flesh meat (e.g., steak, chicken, etc.)",,
4041,7,Eggs,,
4041,7,Fish and seafood,,
4041,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",,
4041,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",,
4041,7,Oils and fats,,
4041,7,Sweets,,
4041,7,"Spices, condiments, beverages",,
4043,7,None / Only water,No,No
4043,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,No
4043,7,White roots and tubers,No,No
4043,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
4043,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,Yes
4043,7,"Other vegetables (e.g., cabbage)",No,No
4043,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
4043,7,"Other fruits (e.g., banana, watermelon)",No,No
