hhid,round,comment,CSID,CSID_r7,s15q45a,s15q45b,s15q45c,s15q46Ia,s15q46Ib,s15q46Ic,s15q51Ia,s15q51Ib,s15q51Ic,s15q46Ua,s15q46Ub,s15q46Uc,s15q51Ua,s15q51Ub,s15q51Uc,klip_payouts_change_coping,ibli_payouts_change_coping
4086,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
4086,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
4086,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
4086,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
4086,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
4086,7,,,Other,,,,,,,,,,,,,,,,,
4087,3,0,Reduce the number of meals eaten each day,,Yes,3,,,,,,,,Yes,3,,Yes,3,,,
4087,3,0,Rely more on food aid,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
4087,3,0,Rely on assistance from others,,Yes,2,,,,,,,,Yes,2,,Yes,2,,,
4087,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
4087,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
4087,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
4087,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
4087,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
4087,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
4087,7,,,No change,,,,,,,,,,,,,,,,,
4087,7,,,Migrate further,,,,,,,,,,,,,,,,,
4087,7,,,Migrate less,,,,,,,,,,,,,,,,,
4087,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
4087,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
4087,7,,,Rely more on others,,,,,,,,,,,,,,,,,
4087,7,,,Rely less on others,,,,,,,,,,,,,,,,,
4087,7,,,Keep children in school,,,,,,,,,,,,,,,,,
4087,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
4087,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
4087,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
4087,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
4087,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
4087,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
4087,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
4087,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
4087,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
4087,7,,,Other,,,,,,,,,,,,,,,,,
4089,3,0,Reduce the number of meals eaten each day,,Yes,1,,,,,,,,Yes,2,,Yes,2,,,
4089,3,0,Rely more on food aid,,Yes,2,,,,,,,,Yes,1,,Yes,1,,,
4089,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
4089,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
4089,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
4089,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
4089,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
4089,3,0,Did not do anything different,,Yes,3,,,,,,,,Yes,3,,Yes,3,,,
4089,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
4089,7,,,No change,,,,,,,,,,,,,,,,,
4089,7,,,Migrate further,,,,,,,,,,,,,,,,,
4089,7,,,Migrate less,,,,,,,,,,,,,,,,,
4089,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
4089,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
4089,7,,,Rely more on others,,,,,,,,,,,,,,,,,
4089,7,,,Rely less on others,,,,,,,,,,,,,,,,,
4089,7,,,Keep children in school,,,,,,,,,,,,,,,,,
4089,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
4089,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
4089,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
4089,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
4089,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
4089,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
4089,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
4089,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
4089,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
4089,7,,,Other,,,,,,,,,,,,,,,,,
4090,3,0,Reduce the number of meals eaten each day,,Yes,2,,,,,,,,Yes,3,,Yes,2,,,
4090,3,0,Rely more on food aid,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
4090,3,0,Rely on assistance from others,,Yes,3,,,,,,,,Yes,2,,Yes,3,,,
4090,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
4090,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
4090,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
4090,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
4090,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
4090,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
4090,7,,,No change,,,,,,,,,,,,,,,,,
4090,7,,,Migrate further,,,,,,,,,,,,,,,,,
4090,7,,,Migrate less,,,,,,,,,,,,,,,,,
4090,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
4090,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
4090,7,,,Rely more on others,,,,,,,,,,,,,,,,,
4090,7,,,Rely less on others,,,,,,,,,,,,,,,,,
4090,7,,,Keep children in school,,,,,,,,,,,,,,,,,
4090,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
4090,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
4090,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
4090,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
4090,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
4090,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
4090,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
4090,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
4090,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
4090,7,,,Other,,,,,,,,,,,,,,,,,
4091,3,0,Reduce the number of meals eaten each day,,Yes,3,,,,,,,,Yes,2,,No,,,,
4091,3,0,Rely more on food aid,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
4091,3,0,Rely on assistance from others,,Yes,2,,,,,,,,Yes,3,,Yes,2,,,
4091,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
4091,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
4091,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,Yes,3,,,
4091,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
4091,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
4091,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
4095,3,0,Reduce the number of meals eaten each day,,Yes,3,,,,,,,,Yes,2,,Yes,1,,,
4095,3,0,Rely more on food aid,,Yes,1,,,,,,,,Yes,1,,Yes,2,,,
4095,3,0,Rely on assistance from others,,Yes,2,,,,,,,,Yes,3,,Yes,3,,,
4095,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
4095,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
4095,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
4095,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
4095,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
4095,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
4095,7,,,No change,,,,,,,,,,,,,,,,,
4095,7,,,Migrate further,,,,,,,,,,,,,,,,,
4095,7,,,Migrate less,,,,,,,,,,,,,,,,,
4095,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
4095,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
4095,7,,,Rely more on others,,,,,,,,,,,,,,,,,
4095,7,,,Rely less on others,,,,,,,,,,,,,,,,,
4095,7,,,Keep children in school,,,,,,,,,,,,,,,,,
4095,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
4095,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
4095,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
4095,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
4095,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
4095,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
4095,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
4095,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
4095,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
4095,7,,,Other,,,,,,,,,,,,,,,,,
4103,3,0,Reduce the number of meals eaten each day,,Yes,3,,,,,,,,Yes,3,,Yes,3,,,
4103,3,0,Rely more on food aid,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
4103,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
4103,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
4103,3,0,Sell livestock,,Yes,2,,,,,,,,Yes,2,,Yes,2,,,
4103,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
4103,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
4103,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
4103,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
4103,7,,,No change,,,,,,,,,,,,,,,,,
4103,7,,,Migrate further,,,,,,,,,,,,,,,,,
4103,7,,,Migrate less,,,,,,,,,,,,,,,,,
4103,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
4103,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
4103,7,,,Rely more on others,,,,,,,,,,,,,,,,,
4103,7,,,Rely less on others,,,,,,,,,,,,,,,,,
4103,7,,,Keep children in school,,,,,,,,,,,,,,,,,
4103,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
4103,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
4103,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
4103,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
4103,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
4103,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
4103,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
4103,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
4103,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
4103,7,,,Other,,,,,,,,,,,,,,,,,
4107,3,0,Reduce the number of meals eaten each day,,Yes,1,,,,,,,,Yes,1,,Yes,3,,,
4107,3,0,Rely more on food aid,,Yes,2,,,,,,,,Yes,2,,Yes,2,,,
4107,3,0,Rely on assistance from others,,Yes,4,,,,,,,,No,,,No,,,,
4107,3,0,"Pull children otherwise in school, out of school",,Yes,3,,,,,,,,No,,,Yes,1,,,
4107,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
4107,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,Yes,3,,No,,,,
4107,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,Yes,4,,No,,,,
4107,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
4107,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
4107,7,,,No change,,,,,,,,,,,,,,,,,
4107,7,,,Migrate further,,,,,,,,,,,,,,,,,
4107,7,,,Migrate less,,,,,,,,,,,,,,,,,
4107,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
4107,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
4107,7,,,Rely more on others,,,,,,,,,,,,,,,,,
4107,7,,,Rely less on others,,,,,,,,,,,,,,,,,
4107,7,,,Keep children in school,,,,,,,,,,,,,,,,,
4107,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
4107,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
4107,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
4107,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
4107,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
4107,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
4107,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
4107,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
4107,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
4107,7,,,Other,,,,,,,,,,,,,,,,,
4108,3,0,Reduce the number of meals eaten each day,,Yes,2,,,,,,,,Yes,2,,Yes,2,,,
4108,3,0,Rely more on food aid,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
4108,3,0,Rely on assistance from others,,Yes,3,,,,,,,,Yes,3,,Yes,3,,,
4108,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
4108,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
4108,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
4108,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
4108,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
4108,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
4108,7,,,No change,,,,,,,,,,,,,,,,,
4108,7,,,Migrate further,,,,,,,,,,,,,,,,,
4108,7,,,Migrate less,,,,,,,,,,,,,,,,,
4108,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
4108,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
4108,7,,,Rely more on others,,,,,,,,,,,,,,,,,
4108,7,,,Rely less on others,,,,,,,,,,,,,,,,,
4108,7,,,Keep children in school,,,,,,,,,,,,,,,,,
4108,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
4108,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
4108,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
4108,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
4108,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
4108,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
4108,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
4108,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
4108,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
4108,7,,,Other,,,,,,,,,,,,,,,,,
4110,3,0,Reduce the number of meals eaten each day,,Yes,1,,,,,,,,Yes,1,,Yes,2,,,
4110,3,0,Rely more on food aid,,Yes,2,,,,,,,,Yes,2,,Yes,1,,,
4110,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
4110,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
4110,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
4110,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
4110,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
4110,3,0,Did not do anything different,,Yes,3,,,,,,,,Yes,3,,Yes,3,,,
4110,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
4110,7,,,No change,,,,,,,,,,,,,,,,,
4110,7,,,Migrate further,,,,,,,,,,,,,,,,,
4110,7,,,Migrate less,,,,,,,,,,,,,,,,,
4110,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
4110,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
4110,7,,,Rely more on others,,,,,,,,,,,,,,,,,
4110,7,,,Rely less on others,,,,,,,,,,,,,,,,,
4110,7,,,Keep children in school,,,,,,,,,,,,,,,,,
4110,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
4110,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
4110,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
4110,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
4110,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
4110,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
4110,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
4110,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
4110,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
4110,7,,,Other,,,,,,,,,,,,,,,,,
4111,3,0,Reduce the number of meals eaten each day,,No,,,,,,,,,No,,,No,,,,
4111,3,0,Rely more on food aid,,No,,,,,,,,,No,,,No,,,,
4111,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
4111,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
4111,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
4111,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
4111,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
4111,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
4111,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
4111,7,,,No change,,,,,,,,,,,,,,,,,
4111,7,,,Migrate further,,,,,,,,,,,,,,,,,
4111,7,,,Migrate less,,,,,,,,,,,,,,,,,
4111,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
4111,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
4111,7,,,Rely more on others,,,,,,,,,,,,,,,,,
4111,7,,,Rely less on others,,,,,,,,,,,,,,,,,
4111,7,,,Keep children in school,,,,,,,,,,,,,,,,,
4111,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
4111,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
4111,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
4111,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
4111,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
4111,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
4111,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
4111,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
4111,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
4111,7,,,Other,,,,,,,,,,,,,,,,,
5001,3,0,Reduce the number of meals eaten each day,,Yes,2,,Yes,2,,Yes,2,,,,,,,,,
5001,3,0,Rely more on food aid,,Yes,1,,Yes,3,,Yes,1,,,,,,,,,
5001,3,0,Rely on assistance from others,,Yes,3,,Yes,1,,Yes,3,,,,,,,,,
5001,3,0,"Pull children otherwise in school, out of school",,No,,,No,,,No,,,,,,,,,,
5001,3,0,Sell livestock,,No,,,No,,,No,,,,,,,,,,
5001,3,0,Increase non-livestock activities like petty trade,,No,,,No,,,No,,,,,,,,,,
5001,3,0,Send family members to look for work elsewhere,,No,,,No,,,No,,,,,,,,,,
5001,3,0,Did not do anything different,,No,,,No,,,No,,,,,,,,,,
5001,3,0,Other (Specify if other),,No,,,No,,,No,,,,,,,,,,
5001,7,,,No change,,,,,,,,,,,,,,,,,
5001,7,,,Migrate further,,,,,,,,,,,,,,,,,
5001,7,,,Migrate less,,,,,,,,,,,,,,,,,
5001,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
5001,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
5001,7,,,Rely more on others,,,,,,,,,,,,,,,,,
5001,7,,,Rely less on others,,,,,,,,,,,,,,,,,
5001,7,,,Keep children in school,,,,,,,,,,,,,,,,,
5001,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
5001,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
5001,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
5001,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
5001,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
5001,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
5001,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
5001,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
5001,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
5001,7,,,Other,,,,,,,,,,,,,,,,,
5002,3,0,Reduce the number of meals eaten each day,,Yes,2,,,,,,,,Yes,2,,Yes,2,,,
5002,3,0,Rely more on food aid,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
5002,3,0,Rely on assistance from others,,Yes,3,,,,,,,,Yes,3,,Yes,3,,,
5002,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
5002,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
5002,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
5002,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
5002,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
5002,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
5002,7,,,No change,,,,,,,,,,,,,,,,,
5002,7,,,Migrate further,,,,,,,,,,,,,,,,,
5002,7,,,Migrate less,,,,,,,,,,,,,,,,,
5002,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
5002,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
5002,7,,,Rely more on others,,,,,,,,,,,,,,,,,
5002,7,,,Rely less on others,,,,,,,,,,,,,,,,,
5002,7,,,Keep children in school,,,,,,,,,,,,,,,,,
5002,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
5002,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
5002,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
5002,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
5002,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
5002,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
5002,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
5002,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
5002,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
5002,7,,,Other,,,,,,,,,,,,,,,,,
5005,3,0,Reduce the number of meals eaten each day,,No,,,No,,,No,,,,,,,,,,
5005,3,0,Rely more on food aid,,Yes,1,,Yes,3,,Yes,3,,,,,,,,,
5005,3,0,Rely on assistance from others,,Yes,2,,Yes,2,,Yes,2,,,,,,,,,
5005,3,0,"Pull children otherwise in school, out of school",,Yes,3,,No,,,No,,,,,,,,,,
5005,3,0,Sell livestock,,No,,,No,,,No,,,,,,,,,,
5005,3,0,Increase non-livestock activities like petty trade,,No,,,Yes,1,,Yes,1,,,,,,,,,
5005,3,0,Send family members to look for work elsewhere,,No,,,No,,,No,,,,,,,,,,
5005,3,0,Did not do anything different,,No,,,No,,,No,,,,,,,,,,
5005,3,0,Other (Specify if other),,No,,,No,,,No,,,,,,,,,,
5005,7,,,No change,,,,,,,,,,,,,,,,,
5005,7,,,Migrate further,,,,,,,,,,,,,,,,,
5005,7,,,Migrate less,,,,,,,,,,,,,,,,,
5005,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
5005,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
5005,7,,,Rely more on others,,,,,,,,,,,,,,,,,
5005,7,,,Rely less on others,,,,,,,,,,,,,,,,,
5005,7,,,Keep children in school,,,,,,,,,,,,,,,,,
5005,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
5005,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
5005,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
5005,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
5005,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
5005,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
5005,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
5005,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
5005,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
5005,7,,,Other,,,,,,,,,,,,,,,,,
5008,3,0,Reduce the number of meals eaten each day,,No,,,,,,,,,No,,,Yes,2,,,
5008,3,0,Rely more on food aid,,Yes,2,,,,,,,,No,,,Yes,1,,,
5008,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,Yes,3,,,
5008,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,Yes,2,,No,,,,
5008,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
5008,3,0,Increase non-livestock activities like petty trade,,Yes,1,,,,,,,,No,,,No,,,,
5008,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
5008,3,0,Did not do anything different,,No,,,,,,,,,Yes,1,,No,,,,
5008,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
5008,7,,,No change,,,,,,,,,,,,,,,,,
5008,7,,,Migrate further,,,,,,,,,,,,,,,,,
5008,7,,,Migrate less,,,,,,,,,,,,,,,,,
5008,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
5008,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
5008,7,,,Rely more on others,,,,,,,,,,,,,,,,,
5008,7,,,Rely less on others,,,,,,,,,,,,,,,,,
5008,7,,,Keep children in school,,,,,,,,,,,,,,,,,
5008,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
5008,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
5008,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
5008,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
5008,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
5008,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
5008,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
5008,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
5008,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
5008,7,,,Other,,,,,,,,,,,,,,,,,
5009,3,0,Reduce the number of meals eaten each day,,Yes,2,,,,,,,,Yes,1,,Yes,1,,,
5009,3,0,Rely more on food aid,,Yes,1,,,,,,,,Yes,2,,Yes,3,,,
5009,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
5009,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
5009,3,0,Sell livestock,,No,,,,,,,,,Yes,3,,Yes,2,,,
5009,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
5009,3,0,Send family members to look for work elsewhere,,Yes,3,,,,,,,,No,,,No,,,,
5009,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
5009,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
5009,7,,,No change,,,,,,,,,,,,,,,,,
5009,7,,,Migrate further,,,,,,,,,,,,,,,,,
5009,7,,,Migrate less,,,,,,,,,,,,,,,,,
5009,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
5009,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
5009,7,,,Rely more on others,,,,,,,,,,,,,,,,,
5009,7,,,Rely less on others,,,,,,,,,,,,,,,,,
5009,7,,,Keep children in school,,,,,,,,,,,,,,,,,
5009,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
5009,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
5009,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
5009,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
5009,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
5009,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
5009,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
